index,review,tagging
79,생각보다 얼큰하지는 않고 개인적으로는 일반 갈비탕이 훨씬 맛있어요,"{'생각보다 얼큰하지는 않고': '맛/향/풍미', '개인적으로는 일반 갈비탕이 훨씬 맛있어요': '맛/향/풍미'}"
80,그냥 갈비탕 구매하다 대파로 구매했는데 그냥이 나아요,{}
81,"큰 갈빗대 1개 작은 갈빗대 1개 딱 두 개 들어 있구요 대파가 어마어마하게 많이 들어 있어 요 국물 맛은 맛이 없어요 남편도 이렇게 맛 없는 갈비탕은 초음이라구  
사미헌 양념 고기는 맛있어서 기대하고 갈비탕 산 건데 다시는 안 살 듯","{'큰 갈빗대 1개 작은 갈빗대 1개 딱 두 개 들어 있구요': '양', '대파가 어마어마하게 많이 들어 있어 요': '양', '국물 맛은 맛이 없어요': '맛/향/풍미', '남편도 이렇게 맛 없는 갈비탕은 초음이라구': '맛/향/풍미', '사미헌 양념 고기는 맛있어서 기대하고 갈비탕 산 건데': '맛/향/풍미', '다시는 안 살 듯': '가격'}"
82,갈비탕에 갈비가 많지도 적지도 않네요,{'갈비가 많지도 적지도 않네요': '양'}
83,맛있게 잘 먹었어요 대파가 많이 들어가 있어서 국물이 시원해요,"{'맛있게 잘 먹었어요': '맛/향/풍미', '대파가 많이 들어가 있어서 국물이 시원해요': '맛/향/풍미'}"
84,갈비탕 너무 맛있게 먹어서 여기까지 왔네요,{'갈비탕 너무 맛있게 먹어서': '맛/향/풍미'}
85,갈비탕보다 고기 양은 적지만 괜찮았어요,{'갈비탕보다 고기 양은 적지만 괜찮았어요': '양'}
86,후기보고 얼큰한 게 ㅜ땡겨서 ㅎ 구입하게 되네요 ,{}
87,"사미 헌 집에서 끓인 듯 슴슴해서
좋으네요","{'사미 헌 집에서 끓인 듯 슴슴해서': '맛/향/풍미', '좋으네요': '맛/향/풍미'}"
88,"처음 사 봤는데 자극적이지 않고 파도 많이 들어 있어 좋네요
잘 먹을게요","{'자극적이지 않고': '맛/향/풍미', '파도 많이 들어 있어 좋네요': '양'}"
89,진짜 갈비랑 대파만 잔뜩 있네요  근데 국물이 얼큰하고 맛있네요,"{'진짜 갈비랑 대파만 잔뜩 있네요': '양', '국물이 얼큰하고 맛있네요': '맛/향/풍미'}"
90,사미헌 갈비탕이 맛있길래 사 봤어요 진짜 얼큰하니 이것도 괜찮네요,"{'사미헌 갈비탕이 맛있길래 사 봤어요': '맛/향/풍미', '진짜 얼큰하니 이것도 괜찮네요': '맛/향/풍미'}"
91,역시 마켓컬리 믿고 먹는 마켓컬리 얼 큰 대파 갈비탕 가성비 좋게 잘 구매했습니다 아주 맛있습니다 대박 만족합니다,"{'가성비 좋게 잘 구매했습니다': '가격', '아주 맛있습니다': '맛/향/풍미', '대박 만족합니다': '맛/향/풍미'}"
92,"이름처럼 막 그렇게 얼큰하진 않아요
소고기 국 국물 느낌입니다","{'이름처럼 막 그렇게 얼큰하진 않아요': '맛/향/풍미', '소고기 국 국물 느낌입니다': '맛/향/풍미'}"
93,지난 번에 갈비탕 맛있어서 재구매해요,{'갈비탕 맛있어서': '맛/향/풍미'}
94,절대 얼큰하지도 않고 부실한 갈비 3대 정도 들어 있는 게 다에요 재구매 의사 절대 없어요 마켓컬리에서 산 것 중에 제일 별로네요,"{'절대 얼큰하지도 않고 부실한 갈비 3대 정도 들어 있는 게 다에요': '양', '재구매 의사 절대 없어요': '가격', '마켓컬리에서 산 것 중에 제일 별로네요': '맛/향/풍미'}"
95,재구매 의사 없어요 국물 맛도 평범한데 고기가 너무 적게 들어 있고 뼈는 엄청 커요,"{'국물 맛도 평범한데': '맛/향/풍미', '고기가 너무 적게 들어 있고': '양', '뼈는 엄청 커요': '양'}"
96,사미 헌은 그냥 갈비탕만,{}
97,"애들이 얼큰해서 들 먹을 줄 알았는데 맛있다고 다 비웠네요
다음에도 또 먹고 싶다면 재구매해야겠어요","{'애들이 얼큰해서 들 먹을 줄 알았는데 맛있다고 다 비웠네요': '맛/향/풍미', '다음에도 또 먹고 싶다면 재구매해야겠어요': '가격'}"
98,사미헌 갈비탕을 좋아하는데 얼큰 대파 맛 신제품이 나와서 구매했습니다 먹어 보고 맛있으면 재구매하겠습니다,"{'사미헌 갈비탕을 좋아하는데': '맛/향/풍미', '얼큰 대파 맛 신제품이 나와서 구매했습니다': '맛/향/풍미', '먹어 보고 맛있으면 재구매하겠습니다': '가격'}"
99,제 입에는 그냥 갈비탕이 더 맛있어요,{'제 입에는 그냥 갈비탕이 더 맛있어요': '맛/향/풍미'}
100,살이 많아요 맛있게 한 끼 해결이요,"{'살이 많아요': '양', '맛있게 한 끼 해결이요': '맛/향/풍미'}"
101,"광고용 사진과 같지 않다고 감안하고 사긴하는데 이건 정말 기만당한  느낌입니다
갈비 3 쪽과 다진 파만 조금 들어 있는데 갈비가 뜯어먹고 넣은 것 같네요
그나마 살이 조금 붙어 있는 것도 갈비라고 하기도 부끄러울 지경입니다
이십사 절기 소갈비탕 양심이 있는지 묻고 싶네요","{'갈비 3 쪽과 다진 파만 조금 들어 있는데': '양', '갈비가 뜯어먹고 넣은 것 같네요': '양', '살이 조금 붙어 있는 것도 갈비라고 하기도 부끄러울 지경입니다': '양', '이십사 절기 소갈비탕 양심이 있는지 묻고 싶네요': '가격'}"
102,후기 안 남기는 편인데 정말 특별한 경험이라 식용 법을 안내하면  양손으로 뼈를 꽉 부여잡고 목에 힘을 주고 머리를 힘껏 뒤로 졎히면 비로소 분리된 살코기를 섭식할 수 있다,{'양손으로 뼈를 꽉 부여잡고 목에 힘을 주고 머리를 힘껏 뒤로 젖히면 비로소 분리된 살코기를 섭식할 수 있다': '활용 방법'}
103,고기는 많은데 국물이 약간 들 척,"{'고기는 많은데': '양', '국물이 약간 들 척': '맛/향/풍미'}"
104,살이 너무 없네요 국물을 샀나  돈 아까움,"{'살이 너무 없네요': '양', '국물을 샀나': '양', '돈 아까움': '가격'}"
105,큰 갈비 대가 세대 들었는데 고기 냄새가 좀 나네요,"{'큰 갈비 대가 세대 들었는데': '양', '고기 냄새가 좀 나네요': '맛/향/풍미'}"
106,국물은 괜찮은데 고기가 엄청 질기고 별로였어요 아쉽네요,"{'국물은 괜찮은데': '맛/향/풍미', '고기가 엄청 질기고 별로였어요': '맛/향/풍미'}"
107,"간도 적당하고 맛도 나쁘지 않은데
국물에 노란 기름이 뜨네요
뼈에 붙은 고기에도 노란 게 붙어 있고 
기름인 듯한데 깨끗히 손질되지 않은 듯해서
아쉽네요","{'간도 적당하고 맛도 나쁘지 않은데': '맛/향/풍미', '국물에 노란 기름이 뜨네요': '맛/향/풍미', '기름인 듯한데 깨끗히 손질되지 않은 듯해서': '맛/향/풍미'}"
108,기존에 먹던 사미헌 갈비탕에 비해 고기의 양은 적지 않으나 국물에 기름이 많고 개운함이  덜합니다 저는 개인적으로 사미헌 갈비탕을 추천합니다,"{'고기의 양은 적지 않으나': '양', '국물에 기름이 많고 개운함이 덜합니다': '맛/향/풍미', '저는 개인적으로 사미헌 갈비탕을 추천합니다': '맛/향/풍미'}"
109,살코기며 이만 한 게 없어요,{'살코기며 이만 한 게 없어요': '맛/향/풍미'}
110,갈비 대가 커서 좋긴하네요,{'갈비 대가 커서 좋긴하네요': '양'}
111,"몇 번째
재구매인지
모르겠어요

보통 사미헌 많이 먹던데
전 이게
좋은 것 같아요",{'전 이게 좋은 것 같아요': '맛/향/풍미'}
